,Dataset,Charset,Test,Sp1,Sp2,pvalue
69,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Nob1,-42
70,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Nob1,-42
71,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Nob1,-42
72,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Pa2,-42
73,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Pa2,0.5724067044708798
74,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Pa2,-42
75,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Pet1,-42
76,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Pet1,-42
77,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Pet1,-42
78,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Pl4,-42
79,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Pl4,-42
80,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Pl4,-42
81,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Pil2,-42
82,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Pil2,-42
83,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Pil2,-42
84,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Pin1,-42
85,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Pin1,0.26146412994911117
86,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Pin1,-42
87,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Pro,-42
88,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Pro,0.26146412994911117
89,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Pro,-42
90,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Sch1,-42
91,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Sch1,-42
92,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Sch1,-42
93,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Sex1,-42
94,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Sex1,-42
95,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Sex1,-42
96,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Sp1,-42
97,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Sp1,0.8012519569012009
98,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Sp1,-42
99,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Ste1,-42
100,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Ste1,-42
101,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Ste1,-42
102,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Tri4,-42
103,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Tri4,-42
104,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Tri4,-42
105,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Ty1,-42
106,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Ty1,0.2614641299491107
107,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Ty1,-42
108,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Wo3,-42
109,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Wo3,-42
110,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Wo3,-42
111,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Oer1,-42
112,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Oer1,0.24644560252399783
113,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Oer1,-42
114,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Ort1,-42
115,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Ort1,-42
116,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Ort1,-42
117,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Pito1,-42
118,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Pito1,0.04601170568923141
119,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Pito1,-42
120,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Pica1,-42
121,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Pica1,-42
122,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Pica1,-42
123,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Pho1,-42
124,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Pho1,0.08331630551120206
125,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Pho1,-42
126,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Pk1,-42
127,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Pk1,0.34303014613824456
128,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Pk1,-42
129,Cognato_2001,ef1a_1stpos,MPTS,Am1,Av5,-42
130,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Av5,-42
131,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Av5,-42
132,Cognato_2001,ef1a_1stpos,MPTS,Am1,Bon2,-42
133,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Bon2,0.7055347312040912
134,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Bon2,-42
135,Cognato_2001,ef1a_1stpos,MPTS,Am1,Bor2,-42
136,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Bor2,-42
137,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Bor2,-42
138,Cognato_2001,ef1a_1stpos,MPTS,Am1,Cala2,-42
139,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Cala2,-42
140,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Cala2,-42
141,Cognato_2001,ef1a_1stpos,MPTS,Am1,Cali1,-42
142,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Cali1,-42
143,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Cali1,-42
144,Cognato_2001,ef1a_1stpos,MPTS,Am1,Ce3,-42
145,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Ce3,-42
146,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Ce3,-42
147,Cognato_2001,ef1a_1stpos,MPTS,Am1,Co4,-42
148,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Co4,-42
149,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Co4,-42
150,Cognato_2001,ef1a_1stpos,MPTS,Am1,Con3,-42
151,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Con3,0.13967348724103146
152,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Con3,-42
153,Cognato_2001,ef1a_1stpos,MPTS,Am1,Cr2,-42
154,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Cr2,-42
155,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Cr2,-42
156,Cognato_2001,ef1a_1stpos,MPTS,Am1,Du3,-42
157,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Du3,-42
158,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Du3,-42
159,Cognato_2001,ef1a_1stpos,MPTS,Am1,Em1,-42
